"Title","has research problem","Document type","implementation","Approach type","Summary usage","Summary characteristics","metric"
"Automatic Abstracting Research at Chemical Abstracts Service","Automatic text summarization","Single document","Implementation","Algebraic","","Abstractive",""
"Automatic condensation of electronic publications by sentence selection","Automatic text summarization","Multiple documents","Implementation","Algebraic","","Abstractive","F-measure, Precision, Recall, Relative utility"
"Automated text summarization and the SUMMARIST system","Automatic text summarization","Multiple documents","SUMMARIST","Algebraic","Generic","Extractive","F-measure, Precision, Recall, Relative utility"
"Trainable, scalable summarization using robust NLP and machine learning","Automatic text summarization","Single document","Implementation","Algebraic","Generic","Extractive","F-measure, Precision, Recall, Relative utility"
"Generating Natural Language Summaries from Multiple On-Line Sources","Automatic text summarization","Multiple documents","SUMMONS","Algebraic","","Abstractive, Extractive",""
"Discourse Trees Are Good Indicators of Importance in Text","Automatic text summarization","Single document","Implementation","Algebraic","","Extractive","F-measure, Precision, Recall, Relative utility"
"Information Fusion in the Context of Multi-Document Summarization","Automatic text summarization","Multiple documents","Implementation","Algebraic","","Abstractive","F-measure, Precision, Recall, Relative utility"
"A multilingual news summarizer","Automatic text summarization","Multiple documents","Multilingual Sunmmrization System","Graph based","","Extractive","F-measure, Precision, Recall, Relative utility"
"Experiments in Single and Multi-Document Summarization Using MEAD","Automatic text summarization","Multiple documents","Implementation","Algebraic","","Extractive",""
"NewsInEssence: A System For Domain-Independent, Real-Time News Clustering and Multi-Document Summarization","Automatic text summarization","Multiple documents","NewsInEssence","Graph based","","Extractive",""
"WebInEssence: A Personalized Web-Based Multi-Document Summarization and Recommendation System","Automatic text summarization","Multiple documents","WebInEssence","Statistical","Generic","Extractive",""
"Automated multi-document summarization in NeATS","Automatic text summarization","Multiple documents","NeATS","Graph based","","Extractive","F-measure, Precision, Recall, Relative utility"
" Tracking and summarizing news on a daily basis with Columbia's Newsblaster","Automatic text summarization","Multiple documents","Columbia's Newsblaster","Graph based","","Extractive","F-measure, Precision, Recall, Relative utility"
"GLEANS: A Generator of Logical Extracts and Abstracts for Nice Summaries","Automatic text summarization","Multiple documents","GLEANS","Algebraic","","Abstractive, Extractive",""
"Generating Single and Multi-Document Summaries with GISTEXTER","Automatic text summarization","Multiple documents, Single document","GISTEXTER","Algebraic","","Abstractive, Extractive","F-measure, Precision, Recall, Relative utility"
"Generating Indicative-Informative Summaries with SumUM","Automatic text summarization","Multiple documents","SumUM","Algebraic","","Abstractive","F-measure, Precision, Recall, Relative utility"